Location Id,Business Account Number,Ownership Name,DBA Name,Street Address,City,State,Source Zipcode,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail Address,Mail City,Mail Zipcode,Mail State,NAICS Code,NAICS Code Description,Parking Tax,Transient Occupancy Tax,LIC Code,LIC Code Description,Supervisor District,Neighborhoods - Analysis Boundaries,Business Corridor,Business Location,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Zip Codes,DELETE - Fire Prevention Districts,DELETE - Supervisor Districts,DELETE - Current Police Districts,DELETE - Neighborhoods,DELETE - Police Districts
0352860-01-001,352860,Real Hospitality Group Inc,Zingari Ristorante,501 Post St,San Francisco,CA,94102,01/01/2001,,01/01/2001,,501 POST ST,San Francisco,94102,CA,7220-7229,Food Services,f,f,D04 H26 P54,Multiple,3,Tenderloin,,POINT (-122.41008 37.788083),50,6,3,21,28852,5,10,1,21,1
1228649-07-191,1101983,The Vegan Hood Chefs Llc,Zin & Juice,103 Horne Ave,San Francisco,CA,94124,08/13/2018,,07/22/2019,,5600 3RD ST 233 APT,San Francisco,94124,CA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
0458698-01-001,458698,Jaffa Sea Llc,"Ziggy's Burger & Grill",21 Drumm St,San Francisco,CA,94111,05/15/2011,,05/15/2011,,24 YELLOWSTONE WAY,Pacifica,94044,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",3,Financial District/South Beach,,POINT (-122.396524 37.793988),108,6,3,8,28860,4,10,1,6,1
1215889-03-191,1099554,Dragon Home Restaurant,Zhong Shan Restaurant,2237 Taraval St,San Frnacisco,CA,94116,03/13/2019,,03/13/2019,,2237 TARAVAL ST,San Francisco,94116,CA,7220-7229,Food Services,f,f,H26,"RESTAURANT GREATER THAN 2,000 SQFT",,,,,,,,,,,,,,
1232951-09-191,1106267,Alpine Acquisition Sub,Zesty,5919 3rd St,San Francisco,CA,94124,09/01/2019,,09/01/2019,,901 MARKET ST 600 STE,San Francisco,94103,CA,7220-7229,Food Services,f,f,H30,CATERING FACILITY,,,,,,,,,,,,,,
0469345-01-001,469345,Zerocater Inc,Zerocater,875 Sansome St,San Francisco,CA,94111,11/26/2010,,11/26/2010,03/17/2014,115 STILLMAN ST,San Francisco,94107,CA,7220-7229,Food Services,f,f,,,3,North Beach,,POINT (-122.402202 37.798261),106,6,3,23,308,3,10,1,23,1
0469345-02-001,469345,Zerocater Inc,Zerocater,115 Stillman St,San Francisco,CA,94107,11/26/2010,,03/18/2014,,115 STILLMAN ST,San Francisco,94107,CA,7220-7229,Food Services,f,f,,,6,South of Market,,POINT (-122.3983 37.780238),32,1,10,34,28856,6,9,2,34,2
0450437-01-001,450437,Folsom Pie Inc,Zero Zero,826 Folsom St,San Francisco,CA,94107,07/15/2010,,07/15/2010,,107 CALEDONIA ST STE E,Sausalito,94965,CA,7220-7229,Food Services,f,f,D04 H26,Multiple,6,South of Market,,POINT (-122.401903 37.781452),32,1,10,34,28853,6,9,2,34,2
1202005-10-181,1093413,Zenaida M. Serrano,"Zening's Kitchen",297 Skyline Drive,Daly City,CA,94015,10/01/2018,,10/01/2018,,297 SKYLINE DR,Daly City,94015,CA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
1176123-01-181,1082349,Chomsri Llc,Zen Yai Thai Restaurant,771 Ellis St,San Francisco,CA,94109,01/02/2018,,01/02/2018,,771 ELLIS ST,San Francisco,94109,CA,7220-7229,Food Services,f,f,H25 POS01,Multiple,,,,,,,,,,,,,,
1141309-03-171,1003079,Enterprise 1180 Inc,Zen Peninsula,1180 El Camino Real,Millbrae,CA,94030,08/22/2014,,08/22/2014,,1180 EL CAMINO REAL,Millbrae,94030,CA,7220-7229,Food Services,f,f,D19,STORAGE & USE OF FLAMMABLE OR COMBUSTIBLE LIQUIDS,,,,,,,,,,,,,,
1137043-02-171,1065877,Iron Grill Asian Bbq Inc,Zen Izakaya,764 Harrison St,San Francisco,CA,94107,02/21/2017,,02/21/2017,01/04/2019,764 HARRISON ST,San Francisco,94107,CA,7220-7229,Food Services,f,f,D04 H25,Multiple,,,,,,,,,,,,,,
1029968-06-151,326156,S F Bay Concessionaires,Zelinsky,Pier 41 Fishermans Wharf,San Francisco,CA,94133,04/28/1999,,06/03/2015,,PIER 41 FISHERMANS WHARF,San Francisco,94133,CA,7220-7229,Food Services,f,f,H07,RETAIL FOOD MARKET W/FOOD PREP. LT 5001 SQFT,,,,POINT (-122.417419 37.809854),99,6,3,23,308,,10,1,23,1
0385063-01-001,385063,"Zeki's Bar Inc","Zeki's Bar Inc",1319 California St,San Francisco,CA,94109,06/09/2011,,06/09/2011,,1319 CALIFORNIA ST,San Francisco,94109,CA,7220-7229,Food Services,f,f,H86,BARS/TAVERNS W/O FOOD PREP,3,Nob Hill,,POINT (-122.416131 37.791154),16,6,3,21,28858,13,10,1,21,1
0324889-01-001,324889,"Rbcc, Inc.",Zeitgeist,199 Valencia St,San Francisco,CA,94103,12/31/2011,,12/31/2011,,199 VALENCIA ST,San Francisco,94103,CA,7220-7229,Food Services,f,f,A45 D04 H26 P12 P54,Multiple,9,Mission,,POINT (-122.422389 37.769986),32,1,5,20,28853,8,5,2,19,2
1247162-02-201,1112236,Zaid Almassri,"Zee's Way",Castro St,San Fransico,CA,94114,02/25/2020,,02/25/2020,03/02/2020,675 MIDDLE RD AP 675 MIDDLE RD APT 1,Belmont,94002,CA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
1239108-11-191,1063049,Zee Cooks Inc,Zee Cooks/creperie Saint Germain,1750 Cesar Chavez  Bldg H,San Francisco,CA,94124,10/01/2016,,11/21/2019,,1 S PARK ST APT 405,San Francisco,94107,CA,7220-7229,Food Services,f,f,H30,CATERING FACILITY,,,,,,,,,,,,,,
1247570-02-201,1063049,Zee Cooks Inc,Zee Cooks / Creperie Saint Germain,1760 Cesar Chavez  J,San+francisco,CA,94124,10/01/2016,,02/27/2020,,1 S Park St Apt 405,San Francisco,94107,CA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
0458394-03-001,458394,Zcaffeinated Inc,Zcrepes,1700 Owens St,San Francisco,CA,94158,03/24/2011,,08/10/2011,02/24/2017,80 MIRAFLORES AVE,San Rafael,94901,CA,7220-7229,Food Services,f,f,,,,,,POINT (-122.393487 37.767376),34,1,10,4,310,14,9,3,20,3
0382487-01-001,382487,Zazie Restaurant Llc,Zazie Restaurant Llc,941 Cole St,San Francisco,CA,94117,02/01/2005,,02/01/2005,,941 COLE ST,San Francisco,94117,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",5,Haight Ashbury,,POINT (-122.44985 37.765274),29,7,11,3,29492,15,11,8,9,5
0479891-01-001,479891,Sf Zazang Restaurant Inc,Zazang Restaurant,2340 Geary Blvd,San Francisco,CA,94115,06/01/2013,,06/01/2013,,2340 GEARY BLVD,San Francisco,94115,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",,,,POINT (-122.441827 37.783081),103,8,6,15,29490,15,1,8,13,5
1150676-06-171,1036660,Juliette Foods Inc,Zaytoon,607 Divisadero St,San Francisco,CA,94117,06/07/2016,,06/07/2016,,583 SAN MATEO AVE,San Bruno,94066,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",5,Hayes Valley,,,,,,,,,,,,
0431148-01-001,431148,Fly Trap Inc,Zare At Fly Trap,606 Folsom St,San Francisco,CA,94107,08/08/2008,,08/08/2008,05/13/2016,606 FOLSOM ST,San Francisco,94107,CA,7220-7229,Food Services,f,f,,,6,Financial District/South Beach,,POINT (-122.396972 37.785344),32,1,10,8,28856,6,9,2,6,2
1121920-09-161,1058681,Wjsa Associates,Zaoh Restaurant,1555 Mission St,San Francisco,CA,94103,09/30/2016,,09/30/2016,,1555 MISSION ST,San Francisco,94103,CA,7220-7229,Food Services,f,f,H24,"RESTAURANT LESS THAN 1,000 SQFT",,,,,,,,,,,,,,
0116450-01-001,116450,Zanze Samuel,Zanzes Cheesecake,2405 Ocean Ave,San Francisco,CA,94127,03/19/1979,,03/19/1979,,2450 2405 OCEAN AV,San Francisco,94127,CA,7220-7229,Food Services,f,f,H28,TAKE-OUT ESTABLISHMENT,7,West of Twin Peaks,,POINT (-122.469715 37.730123),67,10,8,41,59,9,4,5,40,8
0439272-01-001,439272,Zantes Pizza Inc,Zantes Pizza Inc,3489 Mission St,San Francisco,CA,94110,05/22/2009,,05/22/2009,,3489 MISSION ST,San Francisco,94110,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",9,Bernal Heights,,POINT (-122.42271 37.741213),83,9,2,2,28859,2,7,4,2,7
0954377-05-001,954377,Zughaiyir Muhammad A,Zains Fine Wine & Spirits,238 Sansome St #110,San Francisco,CA,94104,07/22/1996,,06/05/2013,,91 DRUMM ST,San Francisco,94111,CA,7220-7229,Food Services,f,f,H03 H31 H73,Multiple,,,,POINT (-122.401046 37.79254),108,6,3,8,28854,4,10,1,6,1
0954377-04-001,954377,Zughaiyir Muhammad A,"Zain's Liquor",34 3rd St,San Francisco,CA,94103,07/22/1996,,06/05/2013,,91 DRUMM ST,San Francisco,94111,CA,7220-7229,Food Services,f,f,H28 H31 H73,Multiple,,,,POINT (-122.403309 37.787286),32,6,10,8,28853,12,9,2,6,2
1233338-09-191,1106415,Rana Cuisines Llc,Zaika Indian Cuisine,737 3rd St,San Francisco,CA,94113,09/10/2019,,09/10/2019,,737 3RD ST,San Francisco,94107,CA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
1220741-05-191,1101575,"Bissy, Inc.","Zachary En'wezoh",1463 Chestnut St,San Francisco,CA,94123,05/06/2019,,05/06/2019,,1463 CHESTNUT ST APT,San Francisco,94123,CA,7220-7229,Food Services,f,f,,,2,Marina,,,,,,,,,,,,
0423024-01-001,423024,Hiranrattana Sakonkrit,Zabb Cuisine,4440 Mission St,San Francisco,CA,94112,11/06/2007,,11/06/2007,,4440 MISSION ST,San Francisco,94112,CA,7220-7229,Food Services,f,f,H24,"RESTAURANT LESS THAN 1,000 SQFT",11,Outer Mission,,POINT (-122.433469 37.726462),94,9,1,28,28861,9,6,4,25,7
0949003-01-001,949003,Campicola Creek Inc,Za Pizza,1919 Hyde St,San Francisco,CA,94109,12/01/2001,,12/01/2001,,1919 HYDE ST,San Francisco,94109,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",,,,POINT (-122.418944 37.798576),107,6,3,32,28858,5,10,1,32,1
1223293-05-191,1102469,Z-One Food Llc,Z-One Food Llc,2142 Irving St,San Francisco,CA,94122,05/20/2019,,05/20/2019,,2142 IRVING ST,San Francisco,94122,CA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
1178314-02-181,1083312,"Elgaali, Aref",Z Zoul Cafe,295 Eddy St,San Francisco,CA,94102,02/01/2018,,02/01/2018,,295 EDDY ST,San Francisco,94102,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",,,,,,,,,,,,,,
1032712-07-151,1015595,Polk Investment Inc,Z Cioccolato,474 Columbus Ave,San Francisco,CA,94133,07/06/2015,,07/06/2015,,41 BONITA ST,San Francisco,94109,CA,7220-7229,Food Services,f,f,H07 POS01 WM30,Multiple,3,North Beach,,POINT (-122.408492 37.799147),106,6,3,23,308,3,10,1,23,1
0483774-01-001,483774,Z & Y Restaurant,Z & Y Restaurant,655 Jackson St,San Francisco,CA,94133,10/01/2013,,10/01/2013,,655 JACKSON ST,San Francisco,94133,CA,7220-7229,Food Services,f,f,H26,"RESTAURANT GREATER THAN 2,000 SQFT",,,,POINT (-122.406026 37.796105),104,6,3,6,308,3,10,1,4,1
1158356-08-171,1074869,606 Jackson Inc.,Z & Y Bistro,606 Jackson St,San Francisco,CA,94133,08/17/2017,,08/17/2017,,606 JACKSON ST,San Francisco,94133,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",,,,,,,,,,,,,,
0373471-03-001,373471,Hines Yvonne A,"Yvonne's Southern Sweets",5128 3rd St,San Francisco,CA,94124,01/15/2004,,05/01/2010,,PO BOX 885272,San Francisco,94188,CA,7220-7229,Food Services,f,f,H07,RETAIL FOOD MARKET W/FOOD PREP. LT 5001 SQFT,,,,POINT (-122.391839 37.731775),87,2,9,1,58,10,8,3,1,3
1155189-07-171,373471,Hines Yvonne A,"Yvonne's Southern Sweets",1598 Yosemite St,San Francisco,CA,94124,01/15/2004,,07/21/2017,10/10/2017,PO BOX 885272,San Francisco,94188,CA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
1186426-04-181,373471,Hines Yvonne A,"Yvonne's Southern Sweets",1605 Jerrold Ave,San Francisco,CA,94124,01/15/2004,,04/27/2018,10/30/2018,PO BOX 885272,San Francisco,94188,CA,7220-7229,Food Services,f,f,H34,CATERER RETAIL FOOD VEHICLES,10,Bayview Hunters Point,,,,,,,,,,,,
0380106-02-001,380106,East Bay Llc,Yuyu Sushi,1559 Sloat Blvd #A,San Francisco,CA,94132,08/16/2004,,02/02/2012,,1559 SLOAT BLVD UNIT A,San Francisco,94132,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",,,,POINT (-122.489697 37.734182),40,10,7,35,64,1,3,5,35,8
0465265-01-001,465265,Yuubi Japanese Restaurant,Yuubi Japanese Restaurant,501 Balboa St,San Francisco,CA,94118,01/01/2012,,01/01/2012,,739 WASHINGTON ST STE 300,San Francisco,94108,CA,7220-7229,Food Services,f,f,D04 D19 H26,Multiple,1,Inner Richmond,,POINT (-122.464285 37.777217),5,8,4,11,54,11,2,9,11,6
1036037-08-151,1016850,Inoodles2 Llc,Yumwok,1650 Holloway Ave C134,San Francisco,CA,94132,08/05/2015,,08/05/2015,12/31/2015,12935 ALCOSTA BLVD 684 UNIT,San Ramon,94583,CA,7220-7229,Food Services,f,f,,,,,,POINT (-122.478945 37.72091),42,10,8,16,64,1,4,5,14,8
0324371-01-001,324371,Yummy Yummy Vietnamese Res Inc,Yummy Yummy Vietnamese Restaur,1015 Irving St,San Francisco,CA,94122,03/01/1999,,03/01/1999,,1015 IRVING ST,San Francisco,94122,CA,7220-7229,Food Services,f,f,H24,"RESTAURANT LESS THAN 1,000 SQFT",5,Inner Sunset,,POINT (-122.468813 37.763937),109,10,11,14,56,11,11,5,12,8
0462283-01-001,462283,W Y Pacific Inc,Yummy Yummy,758 Pacific Ave,San Francisco,CA,94133,09/01/2011,,09/01/2011,,758 PACIFIC AVE,San Francisco,94133,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",3,Chinatown,,POINT (-122.407819 37.796787),104,6,3,6,308,3,10,1,4,1
0487832-01-001,487832,Whitley Monica,Yummy Sticks,1717 Harrison St,San Francisco,CA,94103,03/11/2014,,03/11/2014,,PO BOX 6607,San Pablo,94806,CA,7220-7229,Food Services,f,f,D19 H79,Multiple,9,Mission,,POINT (-122.413448 37.768645),53,3,2,20,28853,8,7,7,19,4
1235381-10-191,1106774,Home Plate Llc,Yummy Home Plate,177 Townsend St,San Francisco,CA,94103,09/18/2019,,10/03/2019,,6 ARNOLD DR,Novato,94949,CA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
0419431-01-001,419431,Shun Fung Intl Trading Inc,Yummy Foods Co,2089 Ingalls St,San Francisco,CA,94124,07/01/2007,,07/01/2007,12/31/2015,607 JACKSON ST,San Francisco,94133,CA,7220-7229,Food Services,f,f,,,10,Bayview Hunters Point,,POINT (-122.386615 37.726197),86,2,9,1,58,10,8,3,1,3
1074100-05-161,419431,Shun Fung Intl Trading Inc,Yummy Foods Co,2089 Ingalls St,San Francisco,CA,94124,07/01/2007,,05/31/2016,05/30/2017,607 JACKSON ST,San Francisco,94133,CA,7220-7229,Food Services,f,f,,,10,Bayview Hunters Point,,POINT (-122.386615 37.726197),86,2,9,1,58,10,8,3,1,3
1148928-06-171,419431,Shun Fung Intl Trading Inc,Yummy Foods Co,607 Jackson St,San Francisco,CA,94133,07/01/2007,,05/31/2017,,607 JACKSON ST,San Francisco,94133,CA,7220-7229,Food Services,f,f,,,3,Chinatown,,,,,,,,,,,,
0451409-01-001,451409,Yummy Dim Sum Fast Food Llc,Yummy Dim Sum Fast Food Llc,930 Stockton St,San Francisco,CA,94108,08/01/2010,,08/01/2010,,930 STOCKTON ST,San Francisco,94108,CA,7220-7229,Food Services,f,f,H24,"RESTAURANT LESS THAN 1,000 SQFT",3,Chinatown,,POINT (-122.40796 37.794298),104,6,3,6,28857,3,10,1,4,1
0419431-02-001,419431,Shun Fung Intl Trading Inc,Yummy Bakery & Cafe,607 Jackson St,San Francisco,CA,94133,07/01/2007,,05/06/2009,,607 JACKSON ST,San Francisco,94133,CA,7220-7229,Food Services,f,f,H88,RETAIL BAKERIES WITH FOOD PREP,3,Chinatown,,POINT (-122.405344 37.796189),104,6,3,6,28857,3,10,1,4,1
1210887-01-191,1097386,Yummy  Bbq  Kitchen  Llc,Yummy  Bbq  Kitchen  Llc,683 Broadway,San  Francisco,CA,94133,01/23/2019,,01/23/2019,,683 BROADWAY,San Francisco,94133,CA,7220-7229,Food Services,f,f,WM18,Multiple,,,,,,,,,,,,,,
0319035-01-001,319035,Dabis Elias I/daibis Jamal I,Yummas Mediterranean Grill,721 Irving St,San Francisco,CA,94122,08/15/1998,,08/15/1998,,721 IRVING ST,San Francisco,94122,CA,7220-7229,Food Services,f,f,H24,"RESTAURANT LESS THAN 1,000 SQFT",5,Inner Sunset,,POINT (-122.465586 37.764073),109,10,11,14,56,11,11,5,12,8
1235528-10-191,1107327,Hetty Nguyen,Yum.bao,3131 Lincoln Way,San Francisco,CA,94122,10/07/2019,,10/07/2019,,3131 LINCOLN WAY,San Francisco,94122,CA,7220-7229,Food Services,f,f,,,4,Sunset/Parkside,,,,,,,,,,,,
0431399-01-001,431399,Yum Yum Hunan Llc,Yum Yum Hunan,1828 Divisadero St,San Francisco,CA,94115,08/13/2008,,08/13/2008,,1828 DIVISADERO ST,San Francisco,94115,CA,7220-7229,Food Services,f,f,H25,"RESTAURANT 1,000 - 2,000 SQFT",2,Pacific Heights,,POINT (-122.440123 37.786648),103,4,6,30,29490,13,1,9,27,6
0102058-01-001,102058,Yuet Lee Restaurant Inc,Yuet Lee Restaurant Inc,1300 Stockton St,San Francisco,CA,94133,01/06/1977,,01/06/1977,,1300 STOCKTON ST,San Francisco,94133,CA,7220-7229,Food Services,f,f,H24 P21,Multiple,3,Chinatown,,POINT (-122.408663 37.797811),106,6,3,6,308,3,10,1,4,1
0394790-01-001,394790,Duong Phuong T,Yucatasia Deli & Sandwich,2164 Mission St,San Francisco,CA,94110,02/01/2006,,02/01/2006,,2164 MISSION ST,San Francisco,94110,CA,7220-7229,Food Services,f,f,H24,"RESTAURANT LESS THAN 1,000 SQFT",9,Mission,,POINT (-122.419417 37.762375),53,3,2,20,28859,8,7,7,19,4
1173612-12-171,1081186,Mingjun Ma,Yuanbao Jiaozi,2110 Irving St,San Francisco,CA,94122,12/27/2017,,12/27/2017,,2110 IRVING ST,San Francisco,94122,CA,7220-7229,Food Services,f,f,H24,"RESTAURANT LESS THAN 1,000 SQFT",,,,,,,,,,,,,,
1204834-11-181,1094697,"Yu's Cafe","Yu's Cafe",57 Walter U Lum Pl,San Francisco,CA,94108,11/01/2018,,11/01/2018,,57 WALTER U LUM PL,San Francisco,94108,CA,7220-7229,Food Services,f,f,H24,"RESTAURANT LESS THAN 1,000 SQFT",,,,,,,,,,,,,,
1241962-01-201,1090965,Lsb Capital Inc.,Yu San Fong,2848 23rd St,San Francisco,CA,94110,08/01/2018,,01/06/2020,,4131 El Camino 101 Ste,Palo Alto,94306,CA,7220-7229,Food Services,f,f,,,9,Mission,,,,,,,,,,,,
0310451-01-001,310451,Wong Lydia & Lee Joseph,"Yoyo's",318 Pacific Ave,San Francisco,CA,94111,11/03/1997,,11/03/1997,,318 PACIFIC AVE,San Francisco,94111,CA,7220-7229,Food Services,f,f,H28,TAKE-OUT ESTABLISHMENT,3,Financial District/South Beach,,POINT (-122.401215 37.797614),106,6,3,8,28860,3,10,1,6,1
0330451-01-001,330451,Bakula Kathleen A,Your Other Mother,5233 California St,San Francisco,CA,94118,11/01/1999,,11/01/1999,,0000 UNDELIVERABLE MAIL,San Francisco,99999,CA,7220-7229,Food Services,f,f,,,1,Outer Richmond,,POINT (-122.473594 37.784406),2,8,4,29,54,11,2,9,26,6
1242804-01-201,1110472,Taji Bey,Your Granola Garden,535 Buena Vista Ave Apt 311,Alameda,CA,94501,01/14/2020,,01/14/2020,,535 Buena Vista Ave 311 Apt,Alameda,94501,CA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
1177459-01-181,1082934,"Young's Kung Fu Action Theatre & Laundry","Young's Kung Fu Action Theatre & Laundry",970 Baker St 3,San Francisco,CA,94115,01/30/2018,,01/30/2018,,970 BAKER ST 3 APT,San Francisco,94115,CA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
1222321-05-191,1102152,Young Kobras Llc,Young Koras Llc,1001 Howard Ave,San Mateo,CA,94401,05/09/2019,,05/09/2019,,1141 DOLORES ST,San Francisco,94110,CA,7220-7229,Food Services,f,f,,,,,,,,,,,,,,,,
